Name,Games,Fouls,Yellows,Reds,F/G,Y/G,R/G
S Finnie,8,194,30,1,24.25,3.75,0.125
C Charleston,4,106,18,2,26.5,4.5,0.5
E Norris,11,251,46,2,22.818181818181817,4.181818181818182,0.18181818181818182
K Clancy,19,469,85,2,24.68421052631579,4.473684210526316,0.10526315789473684
B Madden,24,548,63,3,22.833333333333332,2.625,0.125
I Brines,10,190,19,2,19.0,1.9,0.2
C Murray,15,339,39,1,22.6,2.6,0.06666666666666667
J Beaton,18,390,52,3,21.666666666666668,2.888888888888889,0.16666666666666666
A Muir,14,297,42,5,21.214285714285715,3.0,0.35714285714285715
C Allan,11,250,44,5,22.727272727272727,4.0,0.45454545454545453
W Collum,27,607,65,11,22.48148148148148,2.4074074074074074,0.4074074074074074
S McLean,27,557,63,4,20.62962962962963,2.3333333333333335,0.14814814814814814
C Thomson,26,561,82,1,21.576923076923077,3.1538461538461537,0.038461538461538464
B Colvin,14,295,32,4,21.071428571428573,2.2857142857142856,0.2857142857142857
